algorithm,parameters,count,k-nn,epsilon,largeepsilon,rel,qps,p50,p95,p99,p999,distcomps,build,candidates,indexsize,queriessize,dataset
weaviate,"Weaviate(ef=32, maxConnections=64, efConstruction=128)",10,0.78632,0.8307,0.9939600000000001,0.08734256063963029,559.5634387417166,1.6398429870605469,3.0332207679748526,3.9797043800354013,5.673480749130264,0.0,4391.318613290787,10.0,-375388.0,-670.8586980667113,glove-100-angular
weaviate,"Weaviate(ef=48, maxConnections=64, efConstruction=128)",10,0.83163,0.87431,0.9981199999999999,0.08687933207196619,556.0987607016227,1.7197132110595703,3.0682325363159175,4.105818271636964,6.5725376605987655,0.0,4391.318613290787,10.0,-375388.0,-675.0383682322503,glove-100-angular
weaviate,"Weaviate(ef=512, maxConnections=64, efConstruction=128)",10,0.97686,0.99297,1.0,0.08585413774664519,47.2001243877332,20.591378211975098,35.12760400772093,41.12460851669312,72.91274476051332,0.0,4391.318613290787,10.0,-375388.0,-7953.114634112263,glove-100-angular
weaviate,"Weaviate(ef=64, maxConnections=64, efConstruction=128)",10,0.8581300000000001,0.89922,0.99916,0.08663344913167798,501.71761833511243,1.992344856262207,3.2349228858947745,4.641039371490484,19.108939647674642,0.0,4391.318613290787,10.0,-375388.0,-748.2057362180711,glove-100-angular
weaviate,"Weaviate(ef=768, maxConnections=64, efConstruction=128)",10,0.98586,0.99651,1.0,0.08580959600202352,36.57988607532702,25.75516700744629,39.96686935424805,55.299739837646506,80.45449042320254,0.0,4391.318613290787,10.0,-375388.0,-10262.142403259086,glove-100-angular
weaviate,"Weaviate(ef=96, maxConnections=64, efConstruction=128)",10,0.8913,0.92932,0.99993,0.08636575105886277,365.2692348603087,3.391265869140625,14.88288640975952,19.2897367477417,52.66180086135872,0.0,4391.318613290787,10.0,-375388.0,-1027.7022102437975,glove-100-angular
weaviate,"Weaviate(ef=128, maxConnections=8, efConstruction=128)",10,0.71427,0.75612,0.9612299999999999,0.08892009805509749,573.1392283987094,1.6064643859863281,2.729511260986327,3.699672222137454,19.149491548538247,0.0,1732.2696418762207,10.0,2300.0,4.012986524105072,glove-100-angular
weaviate,"Weaviate(ef=16, maxConnections=8, efConstruction=128)",10,0.3759,0.40187999999999996,0.6527999999999999,0.09947057901559246,1240.4367381267919,0.7488727569580078,1.3654232025146484,3.1712150573730575,20.493395566940332,0.0,1732.2696418762207,10.0,2300.0,1.8541856503486631,glove-100-angular
weaviate,"Weaviate(ef=256, maxConnections=8, efConstruction=128)",10,0.7898799999999999,0.8328900000000001,0.99032,0.08761731192688202,375.2284240999138,2.478361129760742,4.007148742675777,5.36113739013672,20.787510871887214,0.0,1732.2696418762207,10.0,2300.0,6.129599604606629,glove-100-angular
weaviate,"Weaviate(ef=32, maxConnections=8, efConstruction=128)",10,0.50197,0.53608,0.79128,0.0945882071470127,1024.4429915592407,0.8852481842041016,1.5466809272766104,2.3446702957153436,80.45557165145875,0.0,1732.2696418762207,10.0,2300.0,2.2451224899291993,glove-100-angular
weaviate,"Weaviate(ef=48, maxConnections=8, efConstruction=128)",10,0.5716,0.60903,0.8588800000000001,0.0923798453178738,848.0239875132363,1.0745525360107422,1.657056808471679,2.2497344017028813,16.78093314170839,0.0,1732.2696418762207,10.0,2300.0,2.712187430858612,glove-100-angular
weaviate,"Weaviate(ef=512, maxConnections=8, efConstruction=128)",10,0.84695,0.88892,0.9980600000000001,0.08692848512134937,230.56408158162225,4.2133331298828125,6.154119968414306,8.574595451355,21.03720784187319,0.0,1732.2696418762207,10.0,2300.0,9.975534715652465,glove-100-angular
weaviate,"Weaviate(ef=64, maxConnections=8, efConstruction=128)",10,0.61858,0.65811,0.8983599999999999,0.09107277139499365,749.1036367274288,1.1811256408691406,2.1165609359741193,3.369748592376713,17.674870014190713,0.0,1732.2696418762207,10.0,2300.0,3.070336182117462,glove-100-angular
weaviate,"Weaviate(ef=768, maxConnections=8, efConstruction=128)",10,0.8728,0.91441,0.9990600000000001,0.08667859734809905,167.08870304249422,5.843639373779297,8.449435234069822,11.121547222137451,22.847054958343527,0.0,1732.2696418762207,10.0,2300.0,13.765143651962282,glove-100-angular
weaviate,"Weaviate(ef=96, maxConnections=8, efConstruction=128)",10,0.67793,0.71935,0.94146,0.08964036827891428,667.1407359581387,1.3568401336669922,2.1879911422729488,2.981488704681398,18.277400255203297,0.0,1732.2696418762207,10.0,2300.0,3.447548434734345,glove-100-angular
weaviate,"Weaviate(ef=128, maxConnections=8, efConstruction=256)",10,0.73751,0.77888,0.9728199999999999,0.08841173927731599,613.7248397455103,1.5208721160888672,2.4967193603515625,3.4728145599365234,18.235341548919752,0.0,2666.078665971756,10.0,-8024.0,-13.074263057899474,glove-100-angular
weaviate,"Weaviate(ef=16, maxConnections=8, efConstruction=256)",10,0.39998,0.4276,0.68755,0.09822180787078823,1252.2326729265005,0.7088184356689453,1.4534592628478995,3.110179901123047,58.918781280517834,0.0,2666.078665971756,10.0,-8024.0,-6.407754863357543,glove-100-angular
weaviate,"Weaviate(ef=256, maxConnections=8, efConstruction=256)",10,0.80953,0.85093,0.9934799999999999,0.08733260835184856,391.97294965881713,2.3956298828125,3.860104084014891,5.272741317749026,19.562105417251704,0.0,2666.078665971756,10.0,-8024.0,-20.470800362586974,glove-100-angular
weaviate,"Weaviate(ef=32, maxConnections=8, efConstruction=256)",10,0.52579,0.56077,0.8199799999999999,0.09358783395329058,1068.843381478511,0.8265972137451172,1.488733291625976,1.90044641494751,9.831994056701678,0.0,2666.078665971756,10.0,-8024.0,-7.50718032131195,glove-100-angular
weaviate,"Weaviate(ef=48, maxConnections=8, efConstruction=256)",10,0.59412,0.63202,0.88214,0.0915193950509164,954.8471096432432,0.9323358535766602,1.485371589660644,1.959111690521241,16.18494653701785,0.0,2666.078665971756,10.0,-8024.0,-8.403439586257933,glove-100-angular
weaviate,"Weaviate(ef=512, maxConnections=8, efConstruction=256)",10,0.86549,0.90493,0.99902,0.08670755647635424,240.7839462688177,4.123449325561523,6.943976879119872,8.200902938842773,10.314268112182626,0.0,2666.078665971756,10.0,-8024.0,-33.32448082332611,glove-100-angular
weaviate,"Weaviate(ef=64, maxConnections=8, efConstruction=256)",10,0.64133,0.68078,0.9179,0.0903613060945729,824.1153976589273,1.1490583419799805,2.130377292633055,2.923991680145264,16.760464191437034,0.0,2666.078665971756,10.0,-8024.0,-9.736500522613525,glove-100-angular
weaviate,"Weaviate(ef=768, maxConnections=8, efConstruction=256)",10,0.8909499999999999,0.92893,0.9998100000000001,0.08648918105655358,169.59156202017107,5.776882171630859,7.772719860076903,9.809496402740479,15.5173902511597,0.0,2666.078665971756,10.0,-8024.0,-47.313674715995795,glove-100-angular
weaviate,"Weaviate(ef=96, maxConnections=8, efConstruction=256)",10,0.7016600000000001,0.7428600000000001,0.9559,0.08906481057615313,666.5477858749183,1.4154911041259766,2.4942278861999494,3.3105921745300324,20.695834159851103,0.0,2666.078665971756,10.0,-8024.0,-12.03814665660858,glove-100-angular
